Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-09-03,71494.27509698276,71687.2421012931,69950.5390625,69950.5390625,16314599,0.0,0.0
2024-09-04,67345.49390625,68599.77960937501,67345.49390625,67538.4609375,27366563,0.0,0.0
2024-09-05,67634.9357223732,68696.25425724637,66573.6171875,66573.6171875,25686769,0.0,0.0
2024-09-06,66670.09981630987,67249.00082773948,65608.78129535558,66477.1328125,19022299,0.0,0.0
2024-09-09,64547.47001736111,65801.75568287037,64258.019479166665,65126.37109375,23263298,0.0,0.0
2024-09-10,64643.95404550605,64933.40458600831,63679.118910498495,63872.0859375,30651376,0.0,0.0
2024-09-11,62810.759973276196,63196.69398232859,61942.40845290832,62617.79296875,35809707,0.0,0.0
2024-09-12,63679.115879524885,64258.016932975115,62907.24780825792,63968.56640625,35884106,0.0,0.0
2024-09-13,62714.2799519604,63196.69749005241,62038.8953986316,62135.37890625,25045135,0.0,0.0
2024-09-19,61749.44532488114,62135.37935816165,60012.74217511886,60881.09375,49402713,0.0,0.0
2024-09-20,61556.477430555555,62424.828993055555,60784.609375,60784.609375,32746056,0.0,0.0
2024-09-23,60109.225258336664,61267.027349990014,60012.74175069888,60398.67578125,28542376,0.0,0.0
2024-09-24,60591.64408623418,61170.54514438291,60205.710047468354,60977.578125,26957500,0.0,0.0
2024-09-25,61556.4743142082,61942.40832244775,60012.73828125,60012.73828125,28652438,0.0,0.0
2024-09-26,61652.96008017774,62617.79513620556,61459.99306897218,62424.828125,37566015,0.0,0.0
2024-09-27,62775.089180539326,63454.26325204439,62289.96484375,62289.96484375,28433030,361.0,0.0
2024-09-30,62289.960289634146,62386.98514989837,59670.2890625,59670.2890625,32694163,0.0,0.0
2024-10-02,58700.04712352161,60058.39532142129,58117.89789585032,59476.24609375,28473536,0.0,0.0
2024-10-04,59185.16585447607,59864.3398888717,58700.04154419348,58797.06640625,24247578,0.0,0.0
2024-10-07,58408.96904456967,60058.39175845287,57729.79498591188,59185.16796875,35066533,0.0,0.0
2024-10-08,58214.92148631841,59185.17017775705,58117.89661717454,58505.99609375,27411786,0.0,0.0
2024-10-10,58311.94289181876,58408.96775519949,57147.64453125,57147.64453125,45262214,0.0,0.0
